%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1660199455045413142,0,1.8785948753356934,-2.970872163772583,0.05328372120857239,0.05858498066663742,-0.015864476561546326,0.03545756638050079,0.0,0.0
1660199455055539471,0,1.878567099571228,-2.97103214263916,0.052970148622989655,0.05841848626732826,-0.017018163576722145,0.01262810081243515,0.0,0.0
1660199455065342039,0,1.8785330057144165,-2.9708187580108643,0.05267883092164993,0.058745674788951874,-0.015645457431674004,-0.01899729110300541,0.0,0.0
1660199455075301054,0,1.8784815073013306,-2.9708831310272217,0.05273188650608063,0.05782078951597214,-0.01627160981297493,-0.027493178844451904,0.0,0.0
1660199455085345364,0,1.8784292936325073,-2.9709551334381104,0.05268559232354164,0.05703514814376831,-0.0169079452753067,-0.016780521720647812,0.0,0.0
1660199455095355605,0,1.878453016281128,-2.971086025238037,0.05241481214761734,0.057792115956544876,-0.016469798982143402,-0.015571767464280128,0.0,0.0
1660199455105278556,0,1.8783797025680542,-2.9711549282073975,0.05241161212325096,0.05695832148194313,-0.017336443066596985,-0.016349278390407562,0.0,0.0
1660199455115417394,0,1.878629207611084,-2.971280813217163,0.0524798147380352,0.05721944198012352,-0.018085282295942307,-0.011006825603544712,0.0,0.0
1660199455125461825,0,1.8789243698120117,-2.971377372741699,0.0524713397026062,0.05868688225746155,-0.01766510307788849,0.001251868554390967,0.0,0.0
1660199455135569329,0,1.8785477876663208,-2.971425771713257,0.052772171795368195,0.0576443113386631,-0.018334291875362396,0.0187592264264822,0.0,0.0
1660199455145390807,0,1.8781819343566895,-2.9714224338531494,0.052994780242443085,0.05680342763662338,-0.01880788803100586,0.027247339487075806,0.0,0.0
1660199455155536487,0,1.878147840499878,-2.971482753753662,0.05309973284602165,0.05764961242675781,-0.018095212057232857,0.03267577290534973,0.0,0.0
1660199455165401061,0,1.8781251907348633,-2.971512794494629,0.05328330397605896,0.05733776092529297,-0.01906774938106537,0.02850150316953659,0.0,0.0
1660199455175574560,0,1.8781113624572754,-2.971557378768921,0.05327954888343811,0.057828523218631744,-0.019274337217211723,0.016223056241869926,0.0,0.0
1660199455185475677,0,1.8781019449234009,-2.9716079235076904,0.05323294550180435,0.058283403515815735,-0.018888618797063828,0.0075941854156553745,0.0,0.0
1660199455195556731,0,1.878397822380066,-2.971707582473755,0.05324539542198181,0.05875111743807793,-0.019517628476023674,-0.0008270449470728636,0.0,0.0
1660199455205404879,0,1.8783625364303589,-2.9717841148376465,0.05352901294827461,0.05909377709031105,-0.019884057343006134,0.012969395145773888,0.0,0.0
1660199455215480109,0,1.8780360221862793,-2.971787691116333,0.053406763821840286,0.05846409499645233,-0.01961435005068779,0.008761758916079998,0.0,0.0
1660199455225435381,0,1.8783259391784668,-2.971888780593872,0.05341891199350357,0.05936671793460846,-0.020050428807735443,0.009115214459598064,0.0,0.0
1660199455235550520,0,1.8783259391784668,-2.971888780593872,0.05341891199350357,0.05936671793460846,-0.020050428807735443,0.009115214459598064,0.0,0.0
1660199455245409365,0,1.8783259391784668,-2.971888780593872,0.05341891199350357,0.05936671793460846,-0.020050428807735443,0.009115214459598064,0.0,0.0
1660199455255465073,0,1.8783259391784668,-2.971888780593872,0.05341891199350357,0.05936671793460846,-0.020050428807735443,0.009115214459598064,0.0,0.0
1660199455265496203,0,1.8782410621643066,-2.9721310138702393,0.053632091730833054,0.05957877263426781,-0.021739507094025612,0.007141236215829849,0.0,0.0
1660199455275407847,0,1.8782116174697876,-2.9722237586975098,0.05351531133055687,0.05929143726825714,-0.021444100886583328,0.004889483563601971,0.0,0.0
1660199455285367710,0,1.8779046535491943,-2.972179412841797,0.05351778492331505,0.05880644544959068,-0.021902229636907578,0.005225546192377806,0.0,0.0
