,X,Y,Psi,vx,vy,r,throttle,steering,dvx,dvy,dr
6864,-3.60515723228481,1.4581419408126712,0.39681626005354687,2.26666758180115,-0.11695406562838984,-1.0068050230365186,0.2189999967813491,0.421999990940094,-0.13331070395471373,-0.7652178593438508,-37.68110338363268
6865,-3.574743247635694,1.4698564759870825,0.39107531212070246,2.263065703667311,-0.13825132578584887,-0.584628103306493,0.221000000834465,0.4460000097751617,-1.4049590780467993,-8.307271341203645,164.6755592156559
6866,-3.555707108653174,1.477502359109078,0.38642261681586465,2.2533299998853678,-0.14546664963187006,-0.8206896030901607,0.221000000834465,0.4600000083446502,-0.8874878709135723,-0.6577349251251572,-21.518908395326232
6867,-3.53432692796284,1.4848342677668864,0.37902724004346433,2.248189923289276,-0.17214353731676968,-0.9469595547679882,0.221000000834465,0.4600000083446502,-0.5335136107872368,-2.768924238241584,-13.10617392448814
6868,-3.513923956482824,1.4920228201346524,0.37075811764444117,2.253735959963426,-0.17478433156637363,-1.07855191876514,0.2189999967813491,0.4629999995231628,0.5825271653381789,-0.2773754446365947,-13.821785048178102
6869,-3.492630527557897,1.4989506208008507,0.36057393957741335,2.2485022579189256,-0.1766093839925672,-1.1014211846478366,0.2150000035762787,0.4589999914169311,-0.5239302334765986,-0.18270053121717544,-2.28937369981739
6870,-3.471063003524767,1.5057127423461052,0.3485116879005038,2.2379823968520736,-0.16353368057894035,-1.2650931134112542,0.2119999974966049,0.4449999928474426,-0.9937849894023512,1.2352290297145494,-15.461678149356862
6871,-3.4600980518254287,1.508831274747532,0.3421489249436853,2.2379675613904495,-0.16023170023128763,-2.107778780406099,0.2119999974966049,0.4449999928474426,-0.0012496585656659879,0.278140858010919,-70.98325543277903
6872,-3.428701017818371,1.5183288731365618,0.32282402789678527,2.2376602993213077,-0.1781697562167266,-1.2170611785675738,0.2090000063180923,0.4269999861717224,-0.03622938106161278,-2.1150826316317604,105.02483272806312
6873,-3.406975948202381,1.524170877237091,0.3089396869191275,2.2363392537057014,-0.17696871054140917,-1.3664648498360077,0.2060000002384185,0.3980000019073486,-0.14128653316384263,0.12845247554842626,-15.978802326049385
6874,-3.3853247001715494,1.5296921196476696,0.2952775483543747,2.231633008989457,-0.17458317991581884,-1.6640360735341886,0.2060000002384185,0.3980000019073486,-0.35433578867719284,0.17960793086567475,-22.40430334461594
6875,-3.3634413886444623,1.5350529942316458,0.28159636042779407,2.2262191816926418,-0.1660739795563978,-1.2156936366026583,0.2029999941587448,0.3600000143051147,-0.8007638259768718,1.2586031031728568,66.31471331866703
6876,-3.341581380204001,1.5400970309155533,0.267584779829216,2.2280720485865513,-0.16437822223663634,-1.4175589212487008,0.2000000029802322,0.3160000145435333,0.1880874621726719,0.17213901969055406,-20.491665761119933
6877,-3.3198858410677934,1.5448522425283535,0.2540161486602869,2.2360264857230687,-0.16368422945520333,-1.5437618427680746,0.1959999948740005,0.2599999904632568,0.6202769458846641,0.05411667922511642,-9.84114417881131
6878,-3.2978619374780527,1.5495620482378478,0.2401497668999272,2.234568868153775,-0.15959237028864937,-1.2533980402031406,0.19200000166893,0.2070000022649765,-0.2225186884277854,0.6246598244654591,44.32669712190659
6879,-3.275413385640645,1.5535715580942828,0.22676201979003405,2.232738476063192,-0.14566913458562408,-1.1465906866151319,0.19200000166893,0.2070000022649765,-0.16494583821604597,1.254692803542141,9.624947876386036
6880,-3.2533728106955166,1.5573523870966703,0.21436918287991277,2.2280458384868984,-0.14189205116588838,-1.0445844622963858,0.1840000003576278,0.1570000052452087,-0.49634314781944966,0.3995044244625113,10.789260762714639
6881,-3.232339163450496,1.5613102605821858,0.2041732705775294,2.2290208115441343,-0.1320300707054105,-1.0247222424626474,0.1840000003576278,0.1570000052452087,0.0951238607613503,0.9621903386881453,1.937869995333277
6882,-3.2101952210965976,1.5649107083701357,0.19338113176192268,2.230973295007801,-0.1316029123591813,-0.6777373037296239,0.1809999942779541,0.1340000033378601,0.19835875042444154,0.04339631928675939,35.25125827899783
6883,-3.188636851109277,1.56827361781169,0.18406404443727423,2.238137121652318,-0.11759318945355918,-0.7757564152034163,0.1720000058412552,0.0780000016093254,0.7335044930814631,1.4344560816480838,-10.036180695258306
6884,-3.1665983642319246,1.57161537016481,0.17563150489187815,2.2402880604478512,-0.1160582710900363,-0.8914348637789333,0.1720000058412552,0.0780000016093254,0.13121305840313532,0.09363415328005528,-7.0566968527623155
